Menge;AccountingMonth;Produktionsstandort;Vertriebsweg;Landeskürzel;Land;Gruppe
7;201402;Standort1;direkt;DE;Deutschland;3
1;201402;Standort1;direkt;DE;Deutschland;3
1;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201403;Standort1;direkt;DE;Deutschland;3
7;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
12;201403;Standort1;direkt;KW;Kuwait;3
8;201403;Standort1;direkt;KW;Kuwait;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201402;Standort1;direkt;DE;Deutschland;3
10;201403;Standort1;direkt;KW;Kuwait;3
1;201403;Standort1;direkt;DE;Deutschland;3
46;201403;Standort1;direkt;KW;Kuwait;3
7;201403;Standort1;direkt;MY;Malaysia;3
6;201403;Standort1;direkt;TR;Türkei;3
2;201402;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201403;Standort1;direkt;DE;Deutschland;3
2;201403;Standort1;direkt;MY;Malaysia;3
6;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
7;201403;Standort1;direkt;KW;Kuwait;3
2;201403;Standort1;direkt;DE;Deutschland;3
5;201403;Standort1;direkt;DE;Deutschland;3
8;201403;Standort1;direkt;DE;Deutschland;3
1;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
6;201403;Standort1;direkt;TR;Türkei;3
7;201403;Standort1;direkt;TR;Türkei;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201403;Standort1;direkt;KW;Kuwait;3
1;201403;Standort1;direkt;DE;Deutschland;3
14;201403;Standort1;direkt;DE;Deutschland;3
16;201403;Standort1;direkt;DE;Deutschland;3
2;201405;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
9;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
6;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
4;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
12;201403;Standort1;direkt;DE;Deutschland;3
40;201403;Standort1;direkt;KW;Kuwait;3
50;201403;Standort1;direkt;KW;Kuwait;3
1;201403;Standort1;direkt;DE;Deutschland;3
1;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
11;201404;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201403;Standort1;direkt;GB;Vereinigtes Königreich;3
0;201404;Standort1;direkt;DE;Deutschland;3
2;201404;Standort1;direkt;DE;Deutschland;3
2;201404;Standort1;direkt;DE;Deutschland;3
